ticker,name,market,locale,primary_exchange,type,active,currency_name,cik,composite_figi,share_class_figi,last_updated_utc,date_stamp
I:A1BSC,Dow Jones Americas Basic Materials Index,indices,us,,,True,,,,,,2025-11-05
I:A1CYC,Dow Jones Americas Consumer Services Index,indices,us,,,True,,,,,,2025-11-05
I:A1DOW,Dow Jones Americas Index,indices,us,,,True,,,,,,2025-11-05
I:A1ENE,Dow Jones Americas Oil & Gas Index,indices,us,,,True,,,,,,2025-11-05
I:A1FIN,Dow Jones Americas Financials Index,indices,us,,,True,,,,,,2025-11-05
I:A1HCR,Dow Jones Americas Health Care Index,indices,us,,,True,,,,,,2025-11-05
I:A1IDU,Dow Jones Americas Industrials Index,indices,us,,,True,,,,,,2025-11-05
I:A1NCY,Dow Jones Americas Consumer Goods Index,indices,us,,,True,,,,,,2025-11-05
I:A1SGI,Dow Jones Sustainability North America Composite Index (USD),indices,us,,,True,,,,,,2025-11-05
I:A1TEC,Dow Jones Americas Technology Index,indices,us,,,True,,,,,,2025-11-05
I:A1TLS,Dow Jones Americas Telecommunications Index,indices,us,,,True,,,,,,2025-11-05
I:A1UTI,Dow Jones Americas Utilities Index,indices,us,,,True,,,,,,2025-11-05
I:AAVE100,Cboe 100 Aave / US Dollar RealPrice Index,indices,us,,,True,,,,,,2025-11-05
I:AAVE10RP,Cboe 10 Aave / US Dollar RealPrice Index,indices,us,,,True,,,,,,2025-11-05
I:AAVE25RP,Cboe 25 Aave / US Dollar RealPrice Index,indices,us,,,True,,,,,,2025-11-05
I:AAVE400,Cboe 400 Aave / US Dollar RealPrice Index,indices,us,,,True,,,,,,2025-11-05
I:AAVE50RP,Cboe 50 Aave / US Dollar RealPrice Index,indices,us,,,True,,,,,,2025-11-05
I:ABAQ,ABA NASDAQ Community Bank,indices,us,,,True,,,,,,2025-11-05
I:ABQI,NASDAQ OMX ABA Community Bank,indices,us,,,True,,,,,,2025-11-05
I:ABQX,NASDAQ OMX ABA Community Bank Total Rtn,indices,us,,,True,,,,,,2025-11-05
