ticker,name,market,locale,primary_exchange,type,active,currency_name,cik,composite_figi,share_class_figi,last_updated_utc,date_stamp
AAAIF,ALTERNATIVE INVSTMENT TR,otc,us,OTC Link,FUND,True,USD,,,,2025-07-01T07:00:02.257Z,2025-11-06
AABB,ASIA BROADBAND INC,otc,us,OTC Link,CS,True,USD,,BBG000CWNRN5,BBG001SGRBK5,2025-04-25T18:49:42.077Z,2025-11-06
AABKF,AAREAL BANK AG,otc,us,OTC Link,OS,True,USD,,,,2025-01-27T07:38:00.354Z,2025-11-06
AABVF,ABERDEEN INTL INC,otc,us,OTC Link,OS,True,USD,,BBG000BXKHJ4,BBG001S6XZ90,2025-07-01T06:57:33.389Z,2025-11-06
AACAF,AAC TECHS HLDGS INC ORD,otc,us,OTC Link,OS,True,USD,,,,2025-07-01T06:59:10.272Z,2025-11-06
AACAY,AAC TECHS HLDGS UNSP/ADR,otc,us,OTC Link,ADRC,True,USD,,BBG000VNTB62,BBG001T3PT80,2025-07-01T06:59:10.223Z,2025-11-06
AACS,AMER COMMERCE SOLTNS INC,otc,us,OTC Link,CS,True,USD,,BBG000JVQ2Q9,BBG001SBV1Z7,2024-05-03T08:45:10.673Z,2025-11-06
AACTF,AURORA SOLAR TECHNOLOGIES,otc,us,OTC Link,OS,True,USD,,BBG005BTJ9X6,BBG001STZM33,2025-07-01T07:00:09.794Z,2025-11-06
AAFRF,AIRTEL AFRICA PLC,otc,us,OTC Link,OS,True,USD,,,,2025-07-01T07:01:28.616Z,2025-11-06
AAGAF,SILVER47 EXPL CORP,otc,us,OTC Link,OS,True,USD,,BBG01R9X0N42,BBG01QN78F53,2025-08-25T20:28:46.149Z,2025-11-06
AAGC,ALL AMERICAN GOLD CORP,otc,us,OTC Link,CS,True,USD,,BBG000R4MM71,BBG001T948W9,2025-07-03T19:12:09.055Z,2025-11-06
AAGFF,AFTERMATH SILVER LTD ORD,otc,us,OTC Link,OS,True,USD,,BBG001ZZWS68,BBG001V0ZJL9,2025-08-21T16:51:26.931Z,2025-11-06
AAGH,AMERICA GREAT HEALTH,otc,us,OTC Link,CS,True,USD,,BBG003443HQ1,BBG003443JG8,2025-06-11T20:44:52.972Z,2025-11-06
AAGIY,AIA GROUP LTD S/ADR,otc,us,OTC Link,ADRC,True,USD,,BBG001R3QP52,BBG001V28NN4,2025-07-01T06:59:53.675Z,2025-11-06
AAGR,AFRICAN AGRI HLDGS INC,otc,us,OTC Link,CS,True,USD,,BBG00ZKGK0R2,BBG00ZKGK109,2024-10-16T06:56:30.618Z,2025-11-06
AAGRW,AFRICAN AGRI HLDGS WTS,otc,us,OTC Link,WARRANT,True,USD,,BBG00ZKXGR82,,2024-10-16T06:56:30.519Z,2025-11-06
AAGRY,ASTRA AGRO LESTR UNSP/ADR,otc,us,OTC Link,ADRC,True,USD,,BBG000KF9H79,BBG001T8KP46,2025-04-04T05:01:59.073Z,2025-11-06
AAHIF,ASAHI CO LTD ORD,otc,us,OTC Link,OS,True,USD,,,,2025-08-11T18:21:53.741Z,2025-11-06
AAIGF,AIA GROUP LTD ORD,otc,us,OTC Link,OS,True,USD,,,,2025-07-01T06:59:53.618Z,2025-11-06
AAIIQ,ALABAMA AIRCRAFT INDUS,otc,us,OTC Link,CS,True,USD,,BBG000HPGHW5,BBG001SD4Q88,2023-10-11T21:27:35.459Z,2025-11-06
AAIRF,AMERICAN AIRES INC,otc,us,OTC Link,OS,True,USD,,BBG00RD2H0V8,BBG00L8QSZF3,2025-04-29T03:39:45.628Z,2025-11-06
AAKAY,AAK AB UNSP/ADR,otc,us,OTC Link,ADRC,True,USD,,BBG01L562BD2,BBG01L562C77,2025-04-04T05:01:59.255Z,2025-11-06
AALBF,AALBERTS INDUS NV ORD,otc,us,OTC Link,OS,True,USD,,,,2021-09-28T00:10:12.175Z,2025-11-06
AALNS,ARRIVED HOMES 4 ALLEN,otc,us,Grey Market,OTHER,True,USD,,BBG01W7CPFH5,BBG01W7CPGF5,2025-07-21T06:55:27.909Z,2025-11-06
AAMAF,ATLAS MARA CO NVEST ORD,otc,us,OTC Link,OS,True,USD,,,,2021-12-10T07:30:30.598Z,2025-11-06
AAMCF,ALTISOURCE ASSET MGMT,otc,us,OTC Link,CS,True,USD,,BBG003PNL136,BBG003PNL145,2025-01-15T07:38:08.202Z,2025-11-06
AAMMF,ALMADEX MINERALS LTD,otc,us,OTC Link,OS,True,USD,,BBG00L1LR0B3,BBG00K66WBV1,2025-07-01T07:00:41.34Z,2025-11-06
AAMTF,ARMADA MERCANTILE LTD,otc,us,OTC Link,OS,True,USD,,BBG000K7V8F3,BBG001S6TJ73,2025-07-01T06:58:02.38Z,2025-11-06
AANNF,AROUNDTOWN SA ORD,otc,us,OTC Link,OS,True,USD,,,,2021-09-28T08:45:23.537Z,2025-11-06
AANTS,ARRIVED HOMES 3 ANTARES,otc,us,Grey Market,OTHER,True,USD,,BBG01X4WHT72,BBG01X4WHV68,2025-09-09T08:51:31.54Z,2025-11-06
AAPI,APPLE ISPORTS GROUP INC,otc,us,OTC Link,CS,True,USD,,BBG000CQN9X7,BBG001SGHPN2,2024-12-30T07:38:03.949Z,2025-11-06
AAPJ,AAP INC,otc,us,OTC Link,CS,True,USD,,BBG000BHS5L4,BBG001S6BY24,2025-05-16T06:54:23.459Z,2025-11-06
AAPT,ALL AMERICAN PET CO INC,otc,us,OTC Link,CS,True,USD,,BBG000R7ZH35,BBG001SM7HC0,2024-03-05T09:45:11.881Z,2025-11-06
AAQL,ANTIAGING QNTUM LGN A,otc,us,OTC Link,CS,True,USD,,BBG00CTT6WQ3,BBG00CTT6WR2,2024-03-27T08:45:12.292Z,2025-11-06
AARTY,AIRTEL AFRICA PLC ADR,otc,us,OTC Link,ADRC,True,USD,,BBG0175XTW30,BBG0175XTWY6,2025-07-01T07:01:28.659Z,2025-11-06
AARYS,ARRIVED HOMES 3 ARYA,otc,us,Grey Market,OTHER,True,USD,,BBG01W3H2Q52,BBG01W3H2R14,2025-07-16T06:56:27.103Z,2025-11-06
AASCF,ABERDEEN ASIAN SMALLR COS,otc,us,OTC Link,OS,True,USD,,,,2025-07-01T06:58:42.708Z,2025-11-06
AASLF,ASIA AIR SURVEY CO LTD,otc,us,OTC Link,OS,True,USD,,,,2025-07-10T07:00:26.866Z,2025-11-06
AASP,AGASSI SPORTS ENTERTMT,otc,us,OTC Link,CS,True,USD,,BBG000K2W621,BBG001S7JJF3,2025-03-31T08:46:46.383Z,2025-11-06
AASZF,ATLANTIC SAPPHIRE AS,otc,us,OTC Link,OS,True,USD,,,,2025-04-25T21:56:40.362Z,2025-11-06
AATC,AUTOSCOPE TECHS CORP,otc,us,OTC Link,CS,True,USD,,BBG011MC2100,BBG011MC2119,2025-05-20T20:00:44.732Z,2025-11-06
